method,input_size,num_threads,run_id,execution_time_ms,kernel_time_ms,data_transfer_time,data_transferred_bytes,total_operations,achievable_performance
serial,10000,1,1,0.628514,0,0,0,280000, 445495247.520342
threads,10000,20,1,0.598712,0,0,0,280000, 467670599.553709
openmp,10000,20,1,1.071968,0,0,0,280000, 261201826.920207
cuda,10000,256,1,0.429160,0.264239,0.027776,80000,280000, 652437319.414671
serial,100000,1,1,8.035491,0,0,0,3400000, 423122868.285211
threads,100000,20,1,3.771093,0,0,0,3400000, 901595373.012546
openmp,100000,20,1,1.040695,0,0,0,3400000, 3267047501.909782
cuda,100000,256,1,2.602246,2.220129,0.138510,800000,3400000, 1306563637.719109
serial,1000000,1,1,91.483353,0,0,0,40000000, 437238018.593394
threads,1000000,20,1,14.960339,0,0,0,40000000, 2673736203.437636
openmp,1000000,20,1,13.450420,0,0,0,40000000, 2973884830.362175
cuda,1000000,256,1,24.505124,23.237959,0.945985,8000000,40000000, 1632311674.897054
serial,10000,1,2,0.664062,0,0,0,280000, 421647376.299201
threads,10000,20,2,0.680281,0,0,0,280000, 411594620.458311
openmp,10000,20,2,0.725160,0,0,0,280000, 386121683.490540
cuda,10000,256,2,0.334631,0.274428,0.059787,80000,280000, 836742561.209213
serial,100000,1,2,7.548234,0,0,0,3400000, 450436486.203263
threads,100000,20,2,2.860314,0,0,0,3400000, 1188680683.309595
openmp,100000,20,2,1.003645,0,0,0,3400000, 3387652008.429276
cuda,100000,256,2,2.327039,2.209705,0.117165,800000,3400000, 1461084236.233256
serial,1000000,1,2,92.972348,0,0,0,40000000, 430235450.222253
threads,1000000,20,2,11.371483,0,0,0,40000000, 3517571103.083037
openmp,1000000,20,2,11.388529,0,0,0,40000000, 3512306110.824322
cuda,1000000,256,2,24.104379,23.239139,0.863900,8000000,40000000, 1659449513.302126
serial,10000,1,3,0.670502,0,0,0,280000, 417597561.230242
threads,10000,20,3,0.646874,0,0,0,280000, 432850910.687398
openmp,10000,20,3,0.984656,0,0,0,280000, 284363270.015112
cuda,10000,256,3,0.304229,0.274507,0.029522,80000,280000, 920359334.580201
serial,100000,1,3,7.762474,0,0,0,3400000, 438004687.680757
threads,100000,20,3,3.454431,0,0,0,3400000, 984243135.844948
openmp,100000,20,3,1.091082,0,0,0,3400000, 3116172753.285271
cuda,100000,256,3,2.334600,2.217729,0.116660,800000,3400000, 1456352265.912790
